2024-10-03 11:31:32 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: 17
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:34 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.18, Destination: 224.0.0.251, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:35 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:36 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:36 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:36 - [IN] Source: 170.114.52.4, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [IN] Source: 10.0.0.21, Destination: 170.114.52.4, Protocol: TCP
2024-10-03 11:38:36 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:36 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:36 - [IN] Source: 10.0.0.21, Destination: 134.224.240.219, Protocol: TCP
2024-10-03 11:38:36 - [IN] Source: 170.114.52.4, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [IN] Source: 10.0.0.21, Destination: 170.114.52.4, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 10.0.0.21, Destination: 149.154.167.92, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 134.224.240.219, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 10.0.0.21, Destination: 134.224.240.219, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 10.0.0.21, Destination: 149.154.167.92, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 10.0.0.21, Destination: 149.154.167.92, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 10.0.0.21, Destination: 149.154.167.92, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:36 - [OUT] Source: 10.0.0.21, Destination: 149.154.167.92, Protocol: TCP
2024-10-03 11:38:37 - [OUT] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:37 - [OUT] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:37 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:37 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:37 - [OUT] Source: 10.0.0.21, Destination: 149.154.167.92, Protocol: TCP
2024-10-03 11:38:37 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:37 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:37 - [OUT] Source: 10.0.0.21, Destination: 149.154.167.92, Protocol: TCP
2024-10-03 11:38:37 - [OUT] Source: 149.154.167.92, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:38:37 - [OUT] Source: 10.0.0.21, Destination: 149.154.167.92, Protocol: TCP
2024-10-03 11:38:38 - [OUT] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:38:38 - [OUT] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:38:38 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:38:38 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:53 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:53 - [OUT] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:53 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:53 - [OUT] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:54 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:54 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:54 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:54 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:54 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:54 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:54 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:54 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:54 - [IN] Source: 10.0.0.21, Destination: 66.102.1.188, Protocol: TCP
2024-10-03 11:44:54 - [OUT] Source: 10.0.0.21, Destination: 66.102.1.188, Protocol: TCP
2024-10-03 11:44:54 - [IN] Source: 66.102.1.188, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:54 - [OUT] Source: 66.102.1.188, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.16, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.16, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.16, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.16, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.16, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.16, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.16, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.16, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 10.0.0.21, Destination: 66.203.125.11, Protocol: TCP
2024-10-03 11:44:56 - [OUT] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:56 - [IN] Source: 66.203.125.11, Destination: 10.0.0.21, Protocol: TCP
2024-10-03 11:44:58 - [OUT] Source: 10.0.0.21, Destination: 239.255.255.250, Protocol: UDP
2024-10-03 11:44:58 - [IN] Source: 10.0.0.21, Destination: 239.255.255.250, Protocol: UDP
2024-10-03 11:44:58 - [OUT] Source: 10.0.0.18, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:58 - [IN] Source: 10.0.0.18, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.250.75.42, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.250.75.42, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 239.255.255.250, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 239.255.255.250, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.18, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.18, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 142.251.142.206, Destination: 10.0.0.21, Protocol: UDP
2024-10-03 11:44:59 - [OUT] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
2024-10-03 11:44:59 - [IN] Source: 10.0.0.21, Destination: 142.251.142.206, Protocol: UDP
